date,time,file,member,att_manual_0,att_manual_1,att_manual_2,att_manual_3,att_manual_4,att_model_0,att_model_1,att_model_2,att_model_3,att_model_4,valence,arousal,dominance
2022-08-22,21:22,20220822T2122_a.jpg,a,gown,gray,rope,v-neck,shirt,sleeve,knit,maxi,denim,striped,0.506,0.292,0.32
2022-08-29,18:59,20220829T1859_a.jpg,a,gown,gray,rope,v-neck,shirt,sleeve,knit,maxi,denim,lace,0.577,0.249,0.297
2022-09-01,10:30,20220901T1030_a.jpg,a,t-shirt,shorts,purple,blue,shorts,print,sleeve,floral,maxi,denim,0.601,0.318,0.337
2022-09-03,09:01,20220903T0901_a.jpg,a,jumper,boots,jeans,navy,brown,sleeve,print,maxi,knit,denim,0.55,0.295,0.344
2022-09-05,19:35,20220905T1935_a.jpg,a,stripe,pants,jumper,navy,black,print,sleeve,floral,maxi,denim,0.601,0.318,0.337
2022-09-06,07:38,20220906T0738_a.jpg,a,singlet,green,blue,shorts,sock,sleeve,print,knit,maxi,denim,0.55,0.295,0.344
2022-09-08,13:21,20220908T1321_a.jpg,a,singlet,white,shorts,blue,sock,sleeve,maxi,knit,print,denim,0.55,0.295,0.344
2022-09-10,17:07,20220910T1707_a.jpg,a,shirt,brown,jeans,white,shoes,print,sleeve,maxi,floral,denim,0.601,0.318,0.337
2022-09-13,21:41,20220913T2141_a.jpg,a,gray,pants,baggy,t-shirt,purple,print,sleeve,maxi,floral,denim,0.601,0.318,0.337
2022-09-28,09:27,20220928T0927_a.jpg,a,gray,pants,baggy,t-shirt,purple,print,sleeve,floral,maxi,knit,0.629,0.258,0.329
2022-09-29,16:48,20220929T1648_a.jpg,a,pants,black,shirt,orange,belt,print,sleeve,maxi,floral,denim,0.601,0.318,0.337
2022-08-16,21:14,20220816T2114_b.jpg,b,jumper,sleeve,jeans,black,shirt,sleeve,knit,maxi,denim,print,0.55,0.295,0.344
2022-08-25,16:36,20220825T1636_b.jpg,b,,,,,,sleeve,knit,striped,stripe,maxi,0.533,0.272,0.329
2022-09-10,11:52,20220910T1152_b.jpg,b,,,,,,sleeve,print,denim,maxi,knit,0.55,0.295,0.344
2022-09-29,20:13,20220929T2013_b.jpg,b,,,,,,sleeve,knit,maxi,denim,lace,0.577,0.249,0.297
2022-08-23,22:42,20220823T2242_c.jpg,c,black,short,white,shirt,slippers,sleeve,knit,maxi,lace,striped,0.532,0.247,0.311
2022-08-24,22:57,20220824T2257_c.jpg,c,gray,vest,shorts,black,slippers,sleeve,knit,denim,maxi,print,0.55,0.295,0.344
2022-08-25,22:36,20220825T2236_c.jpg,c,white,shirt,shorts,black,slippers,sleeve,maxi,knit,print,lace,0.577,0.249,0.336
2022-08-27,19:21,20220827T1921_c.jpg,c,white,shirt,shorts,black,slippers,sleeve,print,maxi,knit,denim,0.55,0.295,0.344
2022-08-28,20:11,20220828T2011_c.jpg,c,white,shirt,shorts,navy,slippers,sleeve,knit,striped,denim,lace,0.53,0.274,0.315
2022-08-29,19:53,20220829T1953_c.jpg,c,gray,shirt,shorts,navy,slippers,sleeve,print,knit,striped,denim,0.509,0.311,0.352
2022-09-01,17:10,20220901T1710_c.jpg,c,white,shirt,shorts,gray,slippers,sleeve,print,knit,maxi,denim,0.55,0.295,0.344
