date,time,file,member,att_manual_0,att_manual_1,att_manual_2,att_manual_3,att_manual_4,att_model_0,att_model_1,att_model_2,att_model_3,att_model_4,valence,arousal,dominance
2022-08-22,21:22:00,20220822T2122_a.jpg,a,gown,gray,rope,v-neck,shirt,sleeve,knit,maxi,denim,striped,0.511,0.226,0.296
2022-08-29,18:59:00,20220829T1859_a.jpg,a,gown,gray,rope,v-neck,shirt,sleeve,knit,maxi,denim,lace,0.511,0.226,0.296
2022-09-01,10:30:00,20220901T1030_a.jpg,a,t-shirt,shorts,purple,blue,shorts,print,sleeve,floral,maxi,denim,0.681,0.337,0.296
2022-09-03,09:01:00,20220903T0901_a.jpg,a,jumper,boots,jeans,navy,brown,sleeve,print,maxi,knit,denim,0.553,0.375,0.452
2022-09-05,19:35:00,20220905T1935_a.jpg,a,stripe,pants,jumper,navy,black,print,sleeve,floral,maxi,denim,0.612,0.429,0.485
2022-09-06,07:38:00,20220906T0738_a.jpg,a,singlet,green,blue,shorts,sock,sleeve,print,knit,maxi,denim,0.600,0.273,0.300
2022-09-08,13:21:00,20220908T1321_a.jpg,a,singlet,white,shorts,blue,sock,sleeve,maxi,knit,print,denim,0.589,0.262,0.289
2022-09-10,17:07:00,20220910T1707_a.jpg,a,shirt,brown,jeans,white,shoes,print,sleeve,maxi,floral,denim,0.611,0.259,0.276
2022-09-13,21:41:00,20220913T2141_a.jpg,a,gray,pants,baggy,t-shirt,purple,print,sleeve,maxi,floral,denim,0.609,0.267,0.318
2022-09-28,09:27:00,20220928T0927_a.jpg,a,gray,pants,baggy,t-shirt,purple,print,sleeve,floral,maxi,knit,0.609,0.267,0.318
2022-09-29,16:48:00,20220929T1648_a.jpg,a,pants,black,shirt,orange,belt,print,sleeve,maxi,floral,denim,0.639,0.240,0.326
2022-08-16,21:14:00,20220816T2114_b.jpg,b,jumper,sleeve,jeans,black,shirt,sleeve,knit,maxi,denim,print,0.617,0.279,0.339
2022-08-23,22:42:00,20220823T2242_c.jpg,c,black,short,white,shirt,slippers,sleeve,knit,maxi,lace,striped,0.485,0.288,0.235
2022-08-24,22:57:00,20220824T2257_c.jpg,c,gray,vest,shorts,black,slippers,sleeve,knit,denim,maxi,print,0.549,0.357,0.271
2022-08-25,22:36:00,20220825T2236_c.jpg,c,white,shirt,shorts,black,slippers,sleeve,maxi,knit,print,lace,0.631,0.360,0.251
2022-08-27,19:21:00,20220827T1921_c.jpg,c,white,shirt,shorts,black,slippers,sleeve,print,maxi,knit,denim,0.631,0.360,0.251
2022-08-28,20:11:00,20220828T2011_c.jpg,c,white,shirt,shorts,navy,slippers,sleeve,knit,striped,denim,lace,0.606,0.460,0.380
2022-08-29,19:53:00,20220829T1953_c.jpg,c,gray,shirt,shorts,navy,slippers,sleeve,print,knit,striped,denim,0.552,0.399,0.341
2022-09-01,17:10:00,20220901T1710_c.jpg,c,white,shirt,shorts,gray,slippers,sleeve,print,knit,maxi,denim,0.557,0.308,0.236
2022-09-03,20:16:00,20220903T2016_c.jpg,c,white,vest,shorts,gray,slippers,sleeve,knit,maxi,lace,striped,0.549,0.357,0.271
2022-09-04,17:31:00,20220904T1731_c.jpg,c,white,sleeve,shorts,black,slippers,sleeve,knit,denim,maxi,striped,0.575,0.388,0.265
2022-09-06,16:42:00,20220906T1642_c.jpg,c,white,shirt,shorts,gray,slippers,sleeve,knit,lace,maxi,denim,0.557,0.308,0.236
2022-09-07,22:35:00,20220907T2235_c.jpg,c,white,vest,shorts,gray,slippers,sleeve,knit,denim,lace,maxi,0.549,0.357,0.271
2022-09-08,21:39:00,20220908T2139_c.jpg,c,white,sleeve,shorts,black,slippers,sleeve,knit,denim,lace,striped,0.575,0.388,0.265
2022-09-09,20:55:00,20220909T2055_c.jpg,c,white,sleeve,shorts,black,slippers,sleeve,knit,lace,maxi,stripe,0.575,0.388,0.265
2022-09-10,22:22:00,20220910T2222_c.jpg,c,white,vest,shorts,gray,slippers,sleeve,knit,denim,striped,leather,0.549,0.357,0.271
2022-09-11,17:33:00,20220911T1733_c.jpg,c,gray,shirt,shorts,black,slippers,sleeve,knit,denim,print,maxi,0.557,0.308,0.236
2022-09-12,22:13:00,20220912T2213_c.jpg,c,white,shirt,shorts,black,slippers,sleeve,knit,denim,stripe,striped,0.631,0.360,0.251
2022-09-13,22:06:00,20220913T2206_c.jpg,c,gray,shirt,shorts,black,slippers,sleeve,knit,maxi,denim,lace,0.557,0.308,0.236
2022-09-16,20:48:00,20220916T2048_c.jpg,c,white,sleeve,shorts,gray,slippers,sleeve,knit,maxi,lace,print,0.515,0.329,0.246
2022-09-17,20:59:00,20220917T2059_c.jpg,c,white,shirt,shorts,gray,slippers,sleeve,knit,denim,striped,maxi,0.557,0.308,0.236
2022-09-18,18:31:00,20220918T1831_c.jpg,c,white,shirt,shorts,gray,slippers,sleeve,knit,denim,maxi,lace,0.557,0.308,0.236
2022-09-19,18:48:00,20220919T1848_c.jpg,c,white,sleeve,shorts,gray,slippers,sleeve,knit,maxi,striped,denim,0.515,0.329,0.246
2022-08-24,23:27:00,20220824T2327_d.jpg,d,cotton,pajama,pink,blue,shorts,print,sleeve,floral,maxi,lace,0.724,0.223,0.307
2022-08-24,16:51:00,20220824T1651_d.jpg,d,woolen,denim,jeans,blue,pink,knit,sleeve,leather,striped,denim,0.664,0.275,0.353
2022-08-26,15:42:00,20220826T1542_d.jpg,d,stripe,black,full sleeves,cotton,blue,sleeve,knit,striped,leather,denim,0.638,0.170,0.297
2022-08-27,12:37:00,20220827T1237_d.jpg,d,pajama,jacket,black,pink,floral,print,sleeve,denim,floral,maxi,0.801,0.241,0.341
2022-08-29,14:15:00,20220829T1415_d.jpg,d,pajama,cotton,purple,print,shorts,sleeve,print,denim,lace,knit,0.678,0.278,0.317
2022-08-29,12:40:00,20220829T1240_d.jpg,d,jacket,black,blue,cotton,plain,sleeve,knit,leather,lace,wash,0.610,0.169,0.306
2022-08-30,17:55:00,20220830T1755_d.jpg,d,jacket,sneakers,white,black,plain,sleeve,knit,maxi,denim,lace,0.587,0.339,0.347
2022-09-02,13:15:00,20220902T1315_d.jpg,d,jacket,black,stripe,red,running shoes,sleeve,knit,denim,leather,lace,0.591,0.390,0.403
2022-09-02,21:25:00,20220902T2125_d.jpg,d,shirt,black,denim,jeans,sweatshirt,sleeve,knit,maxi,denim,lace,0.588,0.315,0.321
2022-09-04,22:39:00,20220904T2239_d.jpg,d,pink,floral,kurta,shirt,white,sleeve,maxi,knit,print,lace,0.779,0.230,0.322
2022-09-05,00:43:00,20220905T0043_d.jpg,d,sweatshirt,floral,pajama,black,gray,print,sleeve,knit,maxi,floral,0.646,0.228,0.263
2022-09-05,17:52:00,20220905T1752_d.jpg,d,black,gray,jacket,jeans,full sleeve,sleeve,knit,maxi,leather,denim,0.538,0.260,0.314
2022-09-07,14:07:00,20220907T1407_d.jpg,d,blue,white,print,pajama,shorts,sleeve,maxi,knit,print,denim,0.674,0.290,0.326
2022-09-08,22:00:00,20220908T2200_d.jpg,d,denim,black,shorts,sport,plain,knit,sleeve,maxi,denim,wash,0.627,0.432,0.396
2022-09-14,18:30:00,20220914T1830_d.jpg,d,sweat shirt,jeans,black,cream,sock,sleeve,knit,print,striped,maxi,0.603,0.250,0.294
2022-09-21,18:18:00,20220921T1818_d.jpg,d,stripe,woolen,denim,dark blue,cream,sleeve,knit,leather,striped,denim,0.641,0.302,0.304
2022-09-22,23:01:00,20220922T2301_d.jpg,d,sport,black,jeans,shorts,denim,sleeve,knit,maxi,denim,wash,0.657,0.472,0.410
2022-09-29,14:08:00,20220929T1408_d.jpg,d,orange,print,floral,shorts,pajama,print,floral,sleeve,maxi,denim,0.706,0.278,0.315
