date,time,minutes,category,activity,member
2022-08-19,15:00,326,Business,Intelligence,d
2022-08-19,15:00,115,Reference & Learning,General,d
2022-08-19,15:00,90,Utilities,Browsers,d
2022-08-19,15:00,51,Business,Intelligence,d
2022-08-19,15:00,48,Business,General,d
2022-08-19,15:00,36,Utilities,General,d
2022-08-19,15:00,33,Utilities,General,d
2022-08-19,15:00,12,Utilities,Browsers,d
2022-08-19,15:00,9,Utilities,Browsers,d
2022-08-19,15:00,3,Design & Composition,Writing,d
2022-08-19,15:00,3,Communication & Scheduling,Email,d
2022-08-19,15:00,1,Utilities,General,d
2022-08-19,16:00,150,Utilities,Browsers,d
2022-08-19,16:00,105,Reference & Learning,Search,d
2022-08-19,16:00,95,Business,Customer Relations,d
2022-08-19,16:00,65,Utilities,General,d
2022-08-19,16:00,34,Utilities,General,d
2022-08-19,16:00,25,Social Networking,General,d
2022-08-19,16:00,19,Software Development,General,d
2022-08-19,16:00,16,Reference & Learning,Engineering & Technology,d
2022-08-19,16:00,10,Business,Intelligence,d
2022-08-19,16:00,8,Utilities,Browsers,d
2022-08-19,16:00,7,Reference & Learning,General,d
2022-08-19,16:00,5,Communication & Scheduling,Email,d
2022-08-19,17:00,135,Design & Composition,Writing,d
2022-08-19,17:00,105,Uncategorized,Uncategorized,d
2022-08-19,17:00,27,Entertainment,General,d
2022-08-19,17:00,23,Utilities,Browsers,d
2022-08-19,17:00,19,Design & Composition,Writing,d
2022-08-19,17:00,15,Reference & Learning,Search,d
2022-08-19,17:00,13,Utilities,General,d
2022-08-19,17:00,12,Business,General,d
2022-08-19,17:00,5,Social Networking,General,d
2022-08-19,17:00,2,Utilities,Browsers,d
2022-08-19,18:00,411,Communication & Scheduling,Email,d
2022-08-19,18:00,283,Entertainment,General,d
2022-08-19,18:00,129,Utilities,General,d
2022-08-19,18:00,15,Social Networking,General,d
2022-08-19,18:00,3,Utilities,General,d
2022-08-19,18:00,3,Reference & Learning,General,d
2022-08-19,18:00,2,Utilities,Browsers,d
2022-08-19,19:00,18,Utilities,General,d
2022-08-19,19:00,2,Entertainment,General,d
2022-08-19,19:00,2,Business,Intelligence,d
2022-08-19,19:00,2,Social Networking,General,d
2022-08-19,0:00,3427,Entertainment,Games,e
2022-08-19,0:00,57,Utilities,General,e
2022-08-19,0:00,34,Utilities,General,e
2022-08-19,0:00,24,Software Development,General,e
2022-08-19,0:00,23,Software Development,General,e
2022-08-19,0:00,15,Software Development,General,e
2022-08-19,0:00,15,Utilities,Browsers,e
2022-08-19,0:00,12,News & Opinion,Business,e
2022-08-19,0:00,12,Uncategorized,Uncategorized,e
2022-08-19,0:00,8,Reference & Learning,Search,e
2022-08-19,0:00,7,Entertainment,Games,e
2022-08-19,0:00,5,Software Development,Editing & IDEs,e
2022-08-19,0:00,4,Entertainment,Games,e
2022-08-19,0:00,3,Uncategorized,Uncategorized,e
2022-08-19,0:00,3,Utilities,General,e
2022-08-19,0:00,1,Entertainment,Games,e
2022-08-19,0:00,1,Entertainment,Games,e
2022-08-19,1:00,1347,Entertainment,Games,e
2022-08-19,1:00,283,Communication & Scheduling,Email,e
2022-08-19,1:00,131,Software Development,General,e
2022-08-19,1:00,102,Communication & Scheduling,Email,e
2022-08-19,1:00,92,Business,General,e
2022-08-19,1:00,47,Software Development,General,e
2022-08-19,1:00,39,Software Development,General,e
2022-08-19,1:00,35,Software Development,General,e
2022-08-19,1:00,28,Other Work,Communications,e
2022-08-19,1:00,25,Social Networking,General,e
2022-08-19,1:00,24,Social Networking,General,e
2022-08-19,1:00,19,Utilities,General,e
2022-08-19,1:00,18,Software Development,Editing & IDEs,e
2022-08-19,1:00,13,Utilities,General,e
2022-08-19,1:00,12,Social Networking,General,e
2022-08-19,1:00,10,Software Development,General,e
2022-08-19,1:00,9,Reference & Learning,General,e
2022-08-19,1:00,8,Uncategorized,Uncategorized,e
2022-08-19,1:00,7,Uncategorized,Uncategorized,e
2022-08-19,1:00,7,Communication & Scheduling,Instant Message,e
2022-08-19,1:00,7,Software Development,Editing & IDEs,e
2022-08-19,1:00,4,Other Work,Communications,e
2022-08-19,1:00,4,Social Networking,General,e
2022-08-19,1:00,4,Utilities,General,e
2022-08-19,1:00,3,Software Development,General,e
2022-08-19,1:00,3,Reference & Learning,Search,e
2022-08-19,8:00,142,Reference & Learning,Health & Medicine,e
2022-08-19,9:00,1383,Social Networking,General,e
2022-08-19,9:00,537,Utilities,Browsers,e
2022-08-19,9:00,502,News & Opinion,General,e
2022-08-19,9:00,70,Communication & Scheduling,Instant Message,e
2022-08-19,9:00,28,Utilities,General,e
2022-08-19,9:00,9,Utilities,General,e
2022-08-19,10:00,1685,Social Networking,General,e
2022-08-19,10:00,94,Utilities,Browsers,e
2022-08-19,10:00,5,Utilities,General,e
2022-08-19,10:00,1,Utilities,General,e
2022-08-19,11:00,1782,Entertainment,Video,e
2022-08-19,11:00,137,Communication & Scheduling,Instant Message,e
2022-08-19,11:00,120,Entertainment,Video,e
2022-08-19,11:00,102,Social Networking,General,e
2022-08-19,11:00,51,Uncategorized,Uncategorized,e
2022-08-19,11:00,50,Entertainment,Video,e
2022-08-19,11:00,47,Other Work,Communications,e
2022-08-19,11:00,43,Entertainment,Video,e
2022-08-19,11:00,41,Software Development,General,e
2022-08-19,11:00,38,Entertainment,Video,e
2022-08-19,11:00,38,Entertainment,Video,e
2022-08-19,11:00,33,Communication & Scheduling,Email,e
2022-08-19,11:00,14,Other Work,Communications,e
2022-08-19,11:00,11,Utilities,Browsers,e
2022-08-19,11:00,10,Utilities,General,e
2022-08-19,11:00,9,Uncategorized,Uncategorized,e
2022-08-19,11:00,8,Entertainment,Video,e
2022-08-19,11:00,7,Software Development,General,e
2022-08-19,11:00,4,Entertainment,Video,e
2022-08-19,11:00,4,Entertainment,Video,e
2022-08-19,11:00,4,Entertainment,Video,e
2022-08-19,11:00,4,Utilities,General,e
2022-08-19,11:00,4,Uncategorized,Uncategorized,e
2022-08-19,12:00,879,Entertainment,Video,e
2022-08-19,12:00,577,Entertainment,Video,e
2022-08-19,12:00,521,Uncategorized,Uncategorized,e
2022-08-19,12:00,147,Social Networking,General,e
2022-08-19,12:00,137,Utilities,Browsers,e
2022-08-19,12:00,123,Entertainment,Video,e
2022-08-19,12:00,110,News & Opinion,General,e
2022-08-19,12:00,106,Entertainment,General,e
2022-08-19,12:00,90,Social Networking,General,e
2022-08-19,12:00,86,Entertainment,Video,e
2022-08-19,12:00,78,News & Opinion,General,e
2022-08-19,12:00,60,Communication & Scheduling,Instant Message,e
2022-08-19,12:00,58,Entertainment,Video,e
2022-08-19,12:00,47,Entertainment,Video,e
2022-08-19,12:00,47,Social Networking,General,e
2022-08-19,12:00,42,Social Networking,General,e
2022-08-19,12:00,37,Reference & Learning,Search,e
2022-08-19,12:00,26,Entertainment,Video,e
2022-08-19,12:00,25,Social Networking,General,e
2022-08-19,12:00,22,News & Opinion,General,e
2022-08-19,12:00,20,Entertainment,Photos,e
2022-08-19,12:00,19,Reference & Learning,Search,e
2022-08-19,12:00,19,News & Opinion,General,e
2022-08-19,12:00,17,Social Networking,General,e
2022-08-19,12:00,16,Entertainment,Video,e
2022-08-19,12:00,16,Entertainment,Video,e
2022-08-19,12:00,16,Social Networking,General,e
2022-08-19,12:00,14,Entertainment,Video,e
2022-08-19,12:00,14,Reference & Learning,Search,e
2022-08-19,12:00,13,Uncategorized,Uncategorized,e
2022-08-19,12:00,10,Communication & Scheduling,Email,e
2022-08-19,12:00,10,Social Networking,General,e
2022-08-19,12:00,9,Social Networking,General,e
2022-08-19,12:00,9,Entertainment,Video,e
2022-08-19,12:00,8,Social Networking,General,e
2022-08-19,12:00,7,Entertainment,Video,e
2022-08-19,12:00,7,Reference & Learning,Search,e
2022-08-19,12:00,7,Reference & Learning,Search,e
2022-08-19,12:00,7,Reference & Learning,Search,e
2022-08-19,12:00,6,Design & Composition,Graphic Design,e
2022-08-19,12:00,6,Social Networking,General,e
2022-08-19,12:00,6,Reference & Learning,Search,e
2022-08-19,12:00,6,Uncategorized,Uncategorized,e
2022-08-19,12:00,5,Software Development,General,e
2022-08-19,12:00,5,Social Networking,General,e
2022-08-19,12:00,4,Utilities,Browsers,e
2022-08-19,12:00,4,Entertainment,Video,e
2022-08-19,12:00,4,Utilities,Browsers,e
2022-08-19,12:00,4,Utilities,Browsers,e
2022-08-19,12:00,4,Entertainment,Comedy,e
2022-08-19,12:00,4,Entertainment,Video,e
2022-08-19,12:00,4,Entertainment,Video,e
2022-08-19,12:00,4,Reference & Learning,Search,e
